id,user_agent,times_seen,simple_software_string,simple_sub_description_string,simple_operating_platform_string,software,software_name,software_name_code,software_version,software_version_full,operating_system,operating_system_name,operating_system_name_code,operating_system_version,operating_system_version_full,operating_system_flavour,operating_system_flavour_code,operating_system_frameworks,operating_platform,operating_platform_code,operating_platform_vendor_name,software_type,software_sub_type,software_type_specific,hardware_type,hardware_sub_type,hardware_sub_sub_type,hardware_type_specific,layout_engine_name,layout_engine_version,extra_info,extra_info_dict,capabilities,detected_addons,first_seen_at,last_seen_at,updated_at
36,"Mozilla/5.0 (BB10; Touch) AppleWebKit/537.35+ (KHTML, like Gecko) Version/10.3.2.2339 Mobile Safari/537.35+",52,Blackberry Browser on BlackBerry Z Series,,,Blackberry Browser,Blackberry Browser,blackberry-browser,,,,,,,,,,[],BlackBerry Z Series,,BlackBerry,browser,web-browser,,mobile,phone,,,WebKit,"[""537"", ""35""]",{},{},"[""Touch capability""]",[],2016-03-13 12:03:27.000000,2019-07-18 00:00:00.000000,NULL
37,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36",5633,Chrome 43 on Windows Vista,,,Chrome 43,Chrome,chrome,43,43.0.2357.65,Windows Vista,Windows,windows,Vista,NT 6.0,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008"", ""32 bit compatibility layer""]}",{},[],[],2015-05-23 02:06:27.000000,2019-06-27 06:21:05.000000,NULL
38,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,2117822,Internet Explorer 11 on Windows 7,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2013-11-13 22:09:16.000000,2019-07-28 06:00:39.639872,NULL
39,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,18344,Firefox 40 on Windows 10,,,Firefox 40,Firefox,firefox,40,40.0,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-08-14 10:26:34.000000,2019-07-26 00:00:00.000000,NULL
40,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:40.0) Gecko/20100101 Firefox/40.0,13308,Firefox 40 on Mac OS X (Yosemite),,,Firefox 40,Firefox,firefox,40,40.0,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]",{},{},[],[],2015-07-03 03:34:58.000000,2019-07-09 00:00:00.000000,NULL
41,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 525) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537",144,Internet Explorer Mobile 11 on Windows Phone 8.1,,Nokia Lumia 525,Internet Explorer Mobile 11,Internet Explorer Mobile,internet-explorer-mobile,11,11.0,Windows Phone 8.1,Windows Phone,windows-phone,8.1,8.1,,,[],Lumia 525,525,Nokia,browser,web-browser,,mobile,phone,,,Trident,"[""7"", ""0""]",{},"{""Hardware Architecture"": ""ARM""}","[""Touch capability""]",[],2016-03-13 12:03:27.000000,2019-07-20 00:00:00.000000,NULL
42,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36",2478,Chrome 44 on Windows 8.1,,,Chrome 44,Chrome,chrome,44,44.0.2403.107,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-07-25 23:17:52.000000,2019-06-27 06:21:05.000000,NULL
43,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:37.0) Gecko/20100101 Firefox/37.0,7428,Firefox 37 on Mac OS X (Yosemite),,,Firefox 37,Firefox,firefox,37,37.0,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]",{},{},[],[],2015-02-03 16:21:49.000000,2019-06-27 06:21:05.000000,NULL
44,Mozilla/5.0 (Windows NT 5.1; WOW64; Trident/7.0; rv:11.0) like Gecko,8182,Internet Explorer 11 on Windows XP,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows XP,Windows,windows,XP,NT 5.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-03-22 06:34:29.000000,2019-06-27 06:21:05.000000,NULL
45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/44.0.2403.89 Chrome/44.0.2403.89 Safari/537.36",1039,Chromium 44 on Ubuntu Linux,,,Chromium 44,Chromium,chromium,44,44.0.2403.89,Ubuntu Linux,Linux,linux,,,Ubuntu,ubuntu,[],,,,browser,web-browser,,computer,,,,WebKit,"[""537"", ""36""]","{""20"": [""X11 Window System""]}","{""Hardware Architecture"": ""x64""}",[],[],2015-08-25 16:27:03.000000,2019-06-27 06:21:05.000000,NULL
46,"Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4",33874,Safari 8 on iOS 8.4,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.4,iOS,ios,8.4,8.4,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12H143""}",[],[],2015-07-01 07:38:38.000000,2019-07-25 03:00:48.248591,NULL
47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10) AppleWebKit/600.1.25 (KHTML, like Gecko) QuickLook/5.0",267,Webkit based browser on Mac OS X (Yosemite),,,Webkit based browser,Webkit based browser,webkit-based-browser,,,Mac OS X (Yosemite),Mac OS X,mac-os-x,Yosemite,10.10,,,[],,,,browser,web-browser,,computer,,,,WebKit,"[""600"", ""1"", ""25""]",{},{},[],[],2014-11-25 19:19:09.000000,2019-06-27 06:21:05.000000,NULL
48,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:40.0) Gecko/20100101 Firefox/40.0,12695,Firefox 40 on Ubuntu Linux,,,Firefox 40,Firefox,firefox,40,40.0,Ubuntu Linux,Linux,linux,,,Ubuntu,ubuntu,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""X11 Window System""]}","{""Hardware Architecture"": ""x64""}",[],[],2015-08-14 09:24:28.000000,2019-07-23 07:00:31.778011,NULL
49,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MATBJS; rv:11.0) like Gecko,2599,Internet Explorer 11 on Windows 8.1,,Toshiba,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,Toshiba,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2013-12-06 13:51:09.000000,2019-07-27 22:00:31.657667,NULL
50,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",585,Chrome 44 on Windows Vista,,,Chrome 44,Chrome,chrome,44,44.0.2403.155,Windows Vista,Windows,windows,Vista,NT 6.0,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008"", ""32 bit compatibility layer""]}",{},[],[],2015-08-14 13:13:31.000000,2019-06-27 06:21:05.000000,NULL
51,Mozilla/5.0 (Windows NT 10.0; Trident/7.0; rv:11.0) like Gecko,16762,Internet Explorer 11 on Windows 10,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]",{},{},[],[],2015-08-27 11:03:09.000000,2019-07-28 05:00:11.447633,NULL
52,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),6415,Internet Explorer 6 on Windows XP SP2,,,Internet Explorer 6,Internet Explorer,internet-explorer,6,6.0,Windows XP SP2,Windows,windows,XP SP2,NT 5.1,,,"[{""code"": ""microsoft-dotnet"", ""name"": ""Microsoft .Net"", ""versions"": [{""simple"": ""2.0"", ""full"": [""2"", ""0"", ""50727""]}, {""simple"": ""3.0"", ""full"": [""3"", ""0"", ""4506"", ""2152""]}, {""simple"": ""3.5"", ""full"": [""3"", ""5"", ""30729""]}]}]",,,,browser,web-browser,,computer,,,,Trident,[],{},{},[],[],2008-09-15 15:53:43.000000,2019-07-13 07:00:41.550913,NULL
53,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,682,Firefox 35 on Windows Vista,,,Firefox 35,Firefox,firefox,35,35.0,Windows Vista,Windows,windows,Vista,NT 6.0,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008"", ""32 bit compatibility layer""]}",{},[],[],2015-01-18 18:44:39.000000,2019-06-27 06:21:05.000000,NULL
54,"Mozilla/5.0 (Linux; U; Android 4.3; en-us; ZTE-Z667G Build/JLS36C) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",318,Android Browser 4 on Android (Jelly Bean),,ZTE Z667G,Android Browser 4,Android Browser,android-browser,4,4.0,Android (Jelly Bean),Android,android,Jelly Bean,4.3,,,[],ZTE Z667G,Z667G,ZTE,browser,web-browser,,mobile,,,,WebKit,"[""534"", ""30""]",{},"{""System Build"": ""JLS36C""}",[],[],2015-03-22 11:43:47.000000,2019-06-27 06:21:05.000000,NULL
55,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36",19710,Chrome 44 on Windows 7,,,Chrome 44,Chrome,chrome,44,44.0.2403.157,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2015-08-21 01:31:48.000000,2019-07-24 07:00:21.773827,NULL
56,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; ASU2JS; rv:11.0) like Gecko,2730,Internet Explorer 11 on Windows 8.1,,Asus,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,Asus,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},"[""Touch capability""]",[],2014-02-03 21:35:16.000000,2019-07-24 15:00:17.044302,NULL
57,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0,153326,Firefox 38 on Windows 7,,,Firefox 38,Firefox,firefox,38,38.0,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2015-03-22 12:45:09.000000,2019-07-26 21:00:39.339218,NULL
58,Mozilla/5.0 (Windows NT 6.0; WOW64; Trident/7.0; rv:11.0) like Gecko,7824,Internet Explorer 11 on Windows Vista,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows Vista,Windows,windows,Vista,NT 6.0,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008"", ""32 bit compatibility layer""]}",{},[],[],2015-03-22 06:57:53.000000,2019-06-27 06:21:05.000000,NULL
59,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,529867,Internet Explorer 11 on Windows 10,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 10,Windows,windows,10,NT 10.0,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2015-08-10 13:17:39.000000,2019-07-28 05:00:23.595403,NULL
60,"Mozilla/5.0 (Windows NT 5.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36",5467,Chrome 43 on Windows XP,,,Chrome 43,Chrome,chrome,43,43.0.2357.65,Windows XP,Windows,windows,XP,NT 5.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""32 bit compatibility layer""]}",{},[],[],2016-03-13 12:03:27.000000,2019-06-27 06:21:05.000000,NULL
61,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.65 Safari/537.36",34584,Chrome 43 on Windows 7,,,Chrome 43,Chrome,chrome,43,43.0.2357.65,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2015-05-20 15:19:39.000000,2019-07-12 07:00:52.663535,NULL
62,"Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4",62321,Safari 8 on iOS 8.3,,Apple iPad,Safari 8,Safari,safari,8,8.0,iOS 8.3,iOS,ios,8.3,8.3,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12F69""}",[],[],2015-04-10 01:25:55.000000,2019-07-26 00:00:00.000000,NULL
63,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:39.0) Gecko/20100101 Firefox/39.0,4951,Firefox 39 on Windows Vista,,,Firefox 39,Firefox,firefox,39,39.0,Windows Vista,Windows,windows,Vista,NT 6.0,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008"", ""32 bit compatibility layer""]}",{},[],[],2015-07-28 18:33:24.000000,2019-06-27 06:21:05.000000,NULL
64,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4",33712,Safari 8 on iOS 8.4,,Apple iPhone,Safari 8,Safari,safari,8,8.0,iOS 8.4,iOS,ios,8.4,8.4.1,,,[],iPhone,,Apple,browser,web-browser,,mobile,phone,,,WebKit,"[""600"", ""1"", ""4""]",{},"{""Mobile Build"": ""12H321""}",[],[],2015-08-15 06:43:39.000000,2019-07-26 00:00:00.000000,NULL
65,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; TNJB; rv:11.0) like Gecko,4489,Internet Explorer 11 on Windows 8.1,,Toshiba,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 8.1,Windows,windows,8.1,NT 6.3,,,[],,,Toshiba,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""32 bit compatibility layer""]}",{},[],[],2014-07-13 00:16:22.000000,2019-07-26 00:00:00.000000,NULL
66,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,147585,Firefox 41 on Windows 7,,,Firefox 41,Firefox,firefox,41,41.0,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Gecko,"[""20100101""]","{""20"": [""Possibly running on Windows Server 2008 R2"", ""32 bit compatibility layer""]}",{},[],[],2015-07-23 13:05:03.000000,2019-07-25 00:00:00.000000,NULL
67,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.2),1319,Internet Explorer 8 on Windows 7,,,Internet Explorer 8,Internet Explorer,internet-explorer,8,8,Windows 7,Windows,windows,7,NT 6.1,,,"[{""code"": ""microsoft-dotnet"", ""name"": ""Microsoft .Net"", ""versions"": [{""simple"": ""4.0"", ""full"": [""4"", ""0C""]}, {""simple"": ""4.0"", ""full"": [""4"", ""0E""]}, {""simple"": ""2.0"", ""full"": [""2"", ""0"", ""50727""]}, {""simple"": ""3.5"", ""full"": [""3"", ""5"", ""30729""]}, {""simple"": ""3.0"", ""full"": [""3"", ""0"", ""30729""]}]}]",,,,browser,web-browser,,computer,,,,Trident,"[""4"", ""0""]","{""20"": [""Media Center PC v6.0""]}",{},[],"[""InfoPath XML MIME Filter v2"", ""Microsoft Windows Security Licensing v2.0""]",2010-08-26 13:21:23.000000,2019-07-27 11:00:55.091491,NULL
68,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,739645,Internet Explorer 11 on Windows 7,,,Internet Explorer 11,Internet Explorer,internet-explorer,11,11,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Trident,"[""7"", ""0""]","{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2013-11-15 10:33:02.000000,2019-07-28 06:00:23.217467,NULL
69,"Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML, like Gecko) Version/7.0 Mobile/11D257 Safari/9537.53",51722,Safari 7 on iOS 7.1,,Apple iPad,Safari 7,Safari,safari,7,7.0,iOS 7.1,iOS,ios,7.1,7.1.2,,,[],iPad,,Apple,browser,web-browser,,mobile,tablet,,,WebKit,"[""537"", ""51"", ""2""]",{},"{""Mobile Build"": ""11D257""}",[],[],2014-07-03 21:48:30.000000,2019-07-27 00:00:00.000000,NULL
70,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36",3094,Chrome 44 on Windows 7,,,Chrome 44,Chrome,chrome,44,44.0.2403.155,Windows 7,Windows,windows,7,NT 6.1,,,[],,,,browser,web-browser,,computer,,,,Blink,[],"{""20"": [""Possibly running on Windows Server 2008 R2""]}",{},[],[],2015-08-12 15:47:40.000000,2019-07-16 00:00:00.000000,NULL
